ano;GEOCODIGO;cidade;rede;educacao_infantil;anos_iniciais;anos_finais;ensino_fundamental;ensino_medio;eja_fundamental;eja_medio
2021;4312807;NOVA ARAÇÁ;Total;83.4;75.8;65.5;70.9;78.2;0;0
2021;4312906;NOVA BASSANO;Total;72;65.4;83;74.2;76.5;7.1;60
2021;4312955;NOVA BOA VISTA;Total;50;65;69.4;67.5;55.9;0;0
2021;4313003;NOVA BRÉSCIA;Total;13.9;41.8;57.5;47.1;55.4;0;0
2021;4313011;NOVA CANDELÁRIA;Total;68.5;68.4;48.7;58.7;65;0;0
2021;4313037;NOVA ESPERANÇA DO SUL;Total;50;90.7;69.7;81.6;64;0;0
2021;4313060;NOVA HARTZ;Total;76.6;70.5;77.5;73.5;74.7;56.5;0
2021;4313086;NOVA PÁDUA;Total;12.5;66.7;48.5;58;36.4;0;0
2021;4313102;NOVA PALMA;Total;84.2;92.4;51.5;66.4;77.4;77.8;50
2021;4313201;NOVA PETRÓPOLIS;Total;43.9;72.5;81.5;76.7;75.8;4.2;57.1
2021;4313300;NOVA PRATA;Total;54.4;86.8;75.2;81.4;77.9;27.8;43.4
2021;4313334;NOVA RAMADA;Total;100;62.3;64.8;63.4;47.5;0;0
2021;4313359;NOVA ROMA DO SUL;Total;75;56.7;70;62;68.5;0;0
2021;4313375;NOVA SANTA RITA;Total;62.3;67.6;76.9;71.1;54.7;50.6;40
2021;4313391;NOVO CABRAIS;Total;92.3;73.1;58.7;64.9;48.1;0;0
2021;4313409;NOVO HAMBURGO;Total;58.1;88.2;71;81.7;78.3;76.8;89.7
2021;4313425;NOVO MACHADO;Total;30;64;44.1;50;60.5;0;0
2021;4313441;NOVO TIRADENTES;Total;100;93.2;57.4;74.1;57.1;35.3;0
2021;4313466;NOVO XINGU;Total;29.4;57.8;60.4;59.2;65.8;0;0
2021;4313490;NOVO BARREIRO;Total;47.4;60;50;54.6;59.6;0;0
2021;4313508;OSÓRIO;Total;50.5;59.2;76.8;67;78.5;44;57.1
2021;4313607;PAIM FILHO;Total;75;68.1;68.9;68.5;60.3;0;0
2021;4313656;PALMARES DO SUL;Total;85.7;69.3;64.1;66.9;73.3;39.5;69.2
2021;4313706;PALMEIRA DAS MISSÕES;Total;50.8;69.4;62.7;65.8;73.3;38.9;57.6
